,company,sector,symbol,Ticker
0,ADANI ENTERPRISES,MISCELLANEOUS,ADANI ENTERPRISES: ADANIGREEN,ADANIENT
1,ADANI PORTS & SEZ,MISCELLANEOUS,ADANI PORTS & SEZ: ADANIPORTS,ADANIPORTS
2,APOLLO HOSPITALS,MISCELLANEOUS,APOLLO HOSPITALS: APOLLOHOSP,APOLLOHOSP
3,ASIAN PAINTS,PAINTS,ASIAN PAINTS: ASIANPAINT,ASIANPAINT
4,AXIS BANK,BANKING,AXIS BANK: AXISBANK,AXISBANK
5,BAJAJ AUTO,AUTOMOBILES,BAJAJ AUTO: BAJAJ-AUTO,BAJAJ-AUTO
6,BAJAJ FINSERV,FINANCE,BAJAJ FINSERV: BAJAJFINSV,BAJAJFINSV
7,BAJAJ FINANCE,FINANCE,BAJAJ FINANCE: BAJFINANCE,BAJFINANCE
8,BHARAT ELECTRONICS,DEFENCE,BHARAT ELECTRONICS: BEL,BEL
9,BHARTI AIRTEL,TELECOM,BHARTI AIRTEL: AIRTEL,BHARTIARTL
10,BPCL,ENERGY,BPCL: BPCL,BPCL
11,BRITANNIA,FMCG,BRITANNIA INDUSTRIES LTD: BRITANNIA,BRITANNIA
12,CIPLA,PHARMACEUTICALS,CIPLA: CIPLA,CIPLA
13,COAL INDIA,MINING,COAL INDIA: COALINDIA,COALINDIA
14,DR. REDDYS LAB,PHARMACEUTICALS,DR. REDDYS LAB: DRREDDY,DRREDDY
15,EICHER MOTORS,AUTOMOBILES,EICHER MOTORS: EICHERMOT,EICHERMOT
16,GRASIM,TEXTILES,GRASIM: GRASIM,GRASIM
17,HCL TECHNOLOGIES,SOFTWARE,HCL TECHNOLOGIES: HCLTECH,HCLTECH
18,HDFC BANK,BANKING,HDFC BANK: HDFCBANK,HDFCBANK
19,HDFC LIFE INSURANCE,INSURANCE,HDFC LIFE INSURANCE: HDFCLIFE,HDFCLIFE
20,HERO MOTOCORP,AUTOMOBILES,HERO MOTOCORP: HEROMOTOCO,HEROMOTOCO
21,HINDALCO,ALUMINIUM,HINDALCO: HINDALCO,HINDALCO
22,HINDUSTAN UNILEVER,FMCG,HINDUSTAN UNILEVER: HINDUNILVR,HINDUNILVR
23,ICICI BANK,BANKING,ICICI BANK: ICICIBANK,ICICIBANK
24,INDUSIND BANK,BANKING,INDUSIND BANK: INDUSINDBK,INDUSINDBK
25,INFOSYS,SOFTWARE,INFOSYS: INFY,INFY
26,ITC,FOOD & TOBACCO,ITC: ITC,ITC
27,JSW STEEL,STEEL,JSW STEEL: JSWSTEEL,JSWSTEEL
28,KOTAK MAHINDRA BANK,BANKING,KOTAK MAHINDRA BANK: KOTAKBANK,KOTAKBANK
29,L&T,ENGINEERING,L&T: LT,LT
30,M&M,AUTOMOBILES,M&M: M&M,M&M
31,MARUTI SUZUKI,AUTOMOBILES,MARUTI SUZUKI: MARUTI,MARUTI
32,NESTLE,FOOD & TOBACCO,NESTLE: NESTLEIND,NESTLEIND
33,NTPC,POWER,NTPC: NTPC,NTPC
34,ONGC,ENERGY,ONGC: ONGC,ONGC
35,POWER GRID,POWER,POWER GRID: POWERGRID,POWERGRID
36,RELIANCE IND.,ENERGY,RELIANCE IND.: RELIANCE,RELIANCE
37,SBI LIFE INSURANCE,INSURANCE,SBI LIFE INSURANCE: SBILIFE,SBILIFE
38,SBI,BANKING,SBI: SBIN,SBIN
39,SHRIRAM FINANCE,FINANCE,SHRIRAM FINANCE: SHRIRAMFIN,SHRIRAMFIN
40,SUN PHARMA,PHARMACEUTICALS,SUN PHARMA: SUNPHARMA,SUNPHARMA
41,TATA CONSUMER,FMCG,TATA CONSUMER: TATACONSUMER,TATACONSUM
42,TATA MOTORS,AUTOMOBILES,TATA MOTORS: TATAMOTORS,TATAMOTORS
43,TATA STEEL,STEEL,TATA STEEL: TATASTEEL,TATASTEEL
44,TCS,SOFTWARE,TCS: TCS,TCS
45,TECH MAHINDRA,SOFTWARE,TECH MAHINDRA: TECHM,TECHM
46,TITAN,RETAILING,TITAN: TITAN,TITAN
47,TRENT,RETAILING,TRENT: TRENT,TRENT
48,ULTRATECH CEMENT,CEMENT,ULTRATECH CEMENT: ULTRACEMCO,ULTRACEMCO
49,WIPRO,SOFTWARE,WIPRO: WIPRO,WIPRO
